Product ID,Product Name,Category,Subcategory,Description,Unit Price,Quantity in Stock,Manufacturer,Material,Size/Dimensions,Color,Image URL,Installation Time (Estimated),Warranty Information
PD-1001,Steel Fire Door,Accessory,Fire Rated,Story second art. Say certain hold. Democrat sell wind decade.,1395.5,70,Dormakaba,Glass,"40"" x 90""",Silver,https://placekitten.com/413/935,129 minutes,2 years
PD-1002,Steel Fire Door,Hardware,Fire Rated,Explain modern ground. Fund stop long Democrat degree including.,1854.84,191,Dormakaba,Steel,"40"" x 90""",Silver,https://placekitten.com/838/470,161 minutes,2 years
PD-1003,Panic Bar,Frame,Overhead,Herself news be model before key. Present movie example room bank summer water.,1083.65,20,ASSA ABLOY,Steel,"10' x 12""",White,https://picsum.photos/134/134,115 minutes,4 years
PD-1004,Aluminum Frame,Installation,Sliding,"Hand concern property sell. In sing with four.
Public notice natural large beyond.",2630.99,110,Dormakaba,Wood,"40"" x 90""",Black,https://picsum.photos/489/754,69 minutes,5 years
PD-1005,Weather Stripping,Accessory,Commercial,Laugh second dark nice few. Most war we out. Base arrive chance point.,2901.08,83,Dormakaba,Glass,"10' x 12""",Black,https://dummyimage.com/704x286,78 minutes,1 years
PD-1006,Weather Stripping,Hardware,Commercial,Issue kind even bag movement show camera.,2582.11,27,ASSA ABLOY,Glass,"10' x 12""",White,https://dummyimage.com/550x742,137 minutes,1 years
PD-1007,Weather Stripping,Hardware,Sliding,Can charge both measure. Into surface another big subject. Professional smile couple out note.,685.11,14,ASSA ABLOY,Glass,"10' x 12""",Silver,https://placekitten.com/358/598,36 minutes,4 years
PD-1008,Panic Bar,Frame,Overhead,Idea ground foreign spend page more. Hear majority professional stay wind clear make establish.,1969.28,191,ASSA ABLOY,Glass,"40"" x 90""",Black,https://placekitten.com/154/565,98 minutes,2 years
PD-1009,Panic Bar,Installation,Overhead,Born back whose. Enter community soldier.,2908.53,35,Dormakaba,Steel,"10' x 12""",Black,https://dummyimage.com/665x828,116 minutes,1 years
PD-1010,Aluminum Frame,Frame,Commercial,Look team marriage. Firm figure quite soldier. Sister health seat own up action.,679.67,104,Dormakaba,Aluminum,"36"" x 80""",Silver,https://picsum.photos/644/139,136 minutes,5 years
PD-1011,Panic Bar,Hardware,Commercial,Arrive attack add specific doctor. Life people bar campaign owner.,226.22,174,ASSA ABLOY,Wood,"36"" x 80""",White,https://dummyimage.com/844x792,103 minutes,5 years
PD-1012,Panic Bar,Installation,Overhead,What day thousand about rather. Too now lay throw talk. Old dog you at.,683.87,119,Dormakaba,Wood,"40"" x 90""",Silver,https://dummyimage.com/492x181,49 minutes,1 years
PD-1013,Hydraulic Door Closer,Door,Overhead,Building consider size could century. Candidate coach baby education.,455.02,31,Dormakaba,Aluminum,"36"" x 80""",Silver,https://dummyimage.com/522x435,116 minutes,5 years
PD-1014,Panic Bar,Door,Commercial,Wear add that process parent conference. Food girl assume machine.,2868.1,59,ASSA ABLOY,Glass,"10' x 12""",White,https://placekitten.com/534/976,135 minutes,1 years
PD-1015,Weather Stripping,Accessory,Fire Rated,Smile own consider two customer power consumer nice. Any fish become memory west perform.,184.77,91,ASSA ABLOY,Glass,"40"" x 90""",White,https://placekitten.com/285/168,34 minutes,2 years
PD-1016,Steel Fire Door,Installation,Fire Rated,Force mind stand part. Call move another possible look. Little analysis trade.,232.42,43,Dormakaba,Aluminum,"36"" x 80""",White,https://picsum.photos/458/300,68 minutes,5 years
PD-1017,Hydraulic Door Closer,Door,Fire Rated,Compare voice in address community. Cause coach similar mouth. Though on could man remain.,2964.94,114,ASSA ABLOY,Glass,"10' x 12""",Black,https://placekitten.com/842/226,166 minutes,3 years
PD-1018,Steel Fire Door,Installation,Overhead,Trial before third course yet price per. Answer beyond quickly peace.,992.45,136,ASSA ABLOY,Glass,"40"" x 90""",Silver,https://picsum.photos/434/325,94 minutes,1 years
PD-1019,Aluminum Frame,Hardware,Commercial,Be keep exist too family foreign. Whom better key where road.,1926.83,88,Dormakaba,Aluminum,"40"" x 90""",White,https://placekitten.com/985/427,67 minutes,5 years
PD-1020,Weather Stripping,Frame,Fire Rated,Board food system view weight animal project. Computer begin course choose begin.,1533.38,155,Dormakaba,Aluminum,"40"" x 90""",Black,https://picsum.photos/368/443,69 minutes,4 years
PD-1021,Steel Fire Door,Door,Fire Rated,Rate product skin determine or kind forward. His bank nice carry economy. Bit occur today sure.,2909.14,77,Dormakaba,Glass,"40"" x 90""",Black,https://placekitten.com/957/172,58 minutes,1 years
PD-1022,Hydraulic Door Closer,Accessory,Commercial,Ten some voice science. Green despite whole to case area. Situation join example.,1113.16,142,ASSA ABLOY,Glass,"10' x 12""",White,https://picsum.photos/846/216,101 minutes,1 years
PD-1023,Aluminum Frame,Installation,Commercial,No house east outside official. But song art grow.,1715.22,48,ASSA ABLOY,Aluminum,"36"" x 80""",Black,https://dummyimage.com/143x703,38 minutes,1 years
PD-1024,Hydraulic Door Closer,Accessory,Fire Rated,Special argue music benefit. Song get participant institution.,2067.27,155,ASSA ABLOY,Glass,"10' x 12""",Black,https://dummyimage.com/154x958,92 minutes,4 years
PD-1025,Weather Stripping,Installation,Sliding,Pass catch bring decision. Player best blue item artist man. Treat film space whatever.,1845.45,150,Dormakaba,Aluminum,"40"" x 90""",White,https://dummyimage.com/287x341,85 minutes,2 years
PD-1026,Panic Bar,Installation,Fire Rated,Set as despite bank fast on. Plan once strong.,2350.08,22,Dormakaba,Wood,"36"" x 80""",Black,https://placekitten.com/529/593,40 minutes,4 years
PD-1027,Weather Stripping,Door,Overhead,Prove lay sign evening write. News particularly know house across program yeah light.,602.44,183,Dormakaba,Steel,"10' x 12""",Silver,https://placekitten.com/183/358,66 minutes,4 years
